date,hour,symbol,underlying,type,strike,open,high,low,close,volume_contracts,volume_usdt,best_bid_price,best_ask_price,best_bid_qty,best_ask_qty,best_buy_iv,best_sell_iv,mark_price,mark_iv,delta,gamma,vega,theta,openinterest_contracts,openinterest_usdt
2023-10-20,07,BTC-231027-24000-C,BTCUSDT,C,231027-24000,3140.00000000,3140.00000000,3140.00000000,3140.00000000,0E-8,0E-8,5095.00000000,5795.00000000,2.74000000,2.97000000,"",1.55543327,5278.00000000,0.77500000,0.97090117,0.00002114,2.68649912,-14.87166697,168.47000000,4925430.11183990
2023-10-20,08,BTC-231103-28000-P,BTCUSDT,P,231103-28000,530.00000000,530.00000000,260.00000000,265.00000000,1.58000000,1.58000000,260.00000000,265.00000000,3.34000000,1.75000000,"",0.38708150,262.40000000,0.38555384,-0.20176233,0.00012553,16.36561684,-22.60234435,15.91000000,473292.74830000
2023-10-20,09,BTC-240329-29000-P,BTCUSDT,P,240329-29000,3895.00000000,3895.00000000,3895.00000000,3895.00000000,0E-8,0E-8,3155.00000000,3240.00000000,2.46000000,1.50000000,"",0.46742320,3197.00000000,0.46187907,-0.40442181,0.00004240,76.65694170,-11.00141939,22.74000000,677555.86727467
2023-10-20,10,BTC-231124-27000-P,BTCUSDT,P,231124-27000,615.00000000,615.00000000,400.00000000,440.00000000,14.63000000,14.63000000,440.00000000,460.00000000,2.50000000,7.10000000,"",0.41880548,449.00000000,0.41491479,-0.19829845,0.00007274,25.70300867,-15.28968434,162.45000000,4852100.85423587
2023-10-20,11,BTC-240628-65000-P,BTCUSDT,P,240628-65000,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8,31335.00000000,38485.00000000,3.09000000,2.36000000,"",1.00853920,35621.00000000,0.57926960,-0.91581041,0.00001076,38.29372148,-4.40418022,0E-8,0E-8
2023-10-20,14,BTC-231027-23000-C,BTCUSDT,C,231027-23000,4700.00000000,4700.00000000,4700.00000000,4700.00000000,0E-8,0E-8,6360.00000000,7185.00000000,3.18000000,2.64000000,"",1.92235947,6591.00000000,0.77500000,0.99282923,0.00000640,0.79836350,-4.61165699,177.01000000,5233350.79634887
2023-10-20,14,BTC-231124-38000-P,BTCUSDT,P,231124-38000,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8,7500.00000000,9165.00000000,1.50000000,2.37000000,"",0.83304405,8520.00000000,0.49152203,-0.94247633,0.00002570,10.51377476,-7.44453803,0E-8,0E-8
2023-10-20,14,BTC-231229-32000-C,BTCUSDT,C,231229-32000,1025.00000000,1800.00000000,1025.00000000,1565.00000000,6.53000000,6.53000000,1545.00000000,1580.00000000,3.62000000,14.15000000,"",0.48774183,1562.00000000,0.48422754,0.39545275,0.00006152,49.79669892,-17.29558560,27.20000000,804175.70567024
2023-10-20,14,BTC-240628-32000-P,BTCUSDT,P,240628-32000,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8,5395.00000000,6595.00000000,3.90000000,4.30000000,"",0.52388430,5994.70000000,0.46263278,-0.50487867,0.00003510,98.00296624,-9.00633316,0E-8,0E-8
2023-10-20,14,BTC-240927-31000-P,BTCUSDT,P,240927-31000,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8,5480.00000000,6700.00000000,1.90000000,3.65000000,"",0.51480770,6091.00000000,0.46108127,-0.45273415,0.00002997,113.55932023,-7.63915965,0E-8,0E-8
2023-10-20,15,BTC-231124-27000-P,BTCUSDT,P,231124-27000,550.00000000,600.00000000,395.00000000,480.00000000,19.11000000,19.11000000,450.00000000,465.00000000,1.07000000,5.18000000,"",0.39795816,457.00000000,0.39511025,-0.21122631,0.00008037,26.33628260,-15.00826690,162.37000000,4797928.06655704
2023-10-20,15,BTC-240329-20000-P,BTCUSDT,P,240329-20000,760.00000000,760.00000000,760.00000000,760.00000000,0E-8,0E-8,515.00000000,610.00000000,1.50000000,3.20000000,"",0.54179668,561.00000000,0.52784055,-0.09856080,0.00001678,34.04482459,-5.59239766,27.37000000,808765.72754614
2023-10-20,17,BTC-231103-26000-P,BTCUSDT,P,231103-26000,115.00000000,115.00000000,85.00000000,85.00000000,1.44000000,1.44000000,80.00000000,90.00000000,12.00000000,4.91000000,"",0.46719849,84.90000000,0.46069682,-0.07054772,0.00005149,7.69121289,-13.04287462,9.80000000,289257.76492309
2023-10-20,18,BTC-231124-28000-C,BTCUSDT,C,231124-28000,1755.00000000,2810.00000000,1655.00000000,2725.00000000,10.87000000,10.87000000,2385.00000000,2425.00000000,0.85000000,17.47000000,"",0.44573426,2404.90000000,0.43961823,0.67373283,0.00009040,32.69988126,-20.80886722,40.65000000,1198658.96835183
2023-10-20,18,BTC-240329-25000-P,BTCUSDT,P,240329-25000,1600.00000000,1600.00000000,1600.00000000,1600.00000000,0.03000000,0.03000000,1550.00000000,1655.00000000,2.46000000,2.38000000,"",0.48083007,1602.00000000,0.47232926,-0.24711469,0.00003419,61.76101164,-9.08534568,22.54000000,664643.86584626
2023-10-20,19,BTC-240927-45000-C,BTCUSDT,C,240927-45000,2490.00000000,2490.00000000,2490.00000000,2490.00000000,0E-8,0E-8,2770.00000000,3355.00000000,3.97000000,3.58000000,"",0.64847231,3059.00000000,0.62073886,0.34519719,0.00002073,105.51718815,-9.56184194,0.15000000,4433.75060440
2023-10-20,21,BTC-231027-29000-P,BTCUSDT,P,231027-29000,690.00000000,690.00000000,225.00000000,245.00000000,74.89000000,74.89000000,240.00000000,260.00000000,5.90000000,5.49000000,"",0.32857120,249.00000000,0.32128811,-0.30384976,0.00027719,13.73072782,-34.37541519,158.35000000,4689052.56091730
2023-10-20,00,BTC-231027-28000-P,BTCUSDT,P,231027-28000,455.00000000,480.00000000,230.00000000,230.00000000,63.84000000,63.84000000,240.00000000,245.00000000,4.25000000,20.49000000,"",0.31411588,242.00000000,0.31233013,-0.29651424,0.00027354,14.00015668,-29.98398014,49.29000000,1411844.39512565
2023-10-20,00,BTC-231124-42000-C,BTCUSDT,C,231124-42000,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8,40.00000000,45.00000000,4.34000000,4.46000000,"",0.59497654,42.40000000,0.58982164,0.02298122,0.00001037,4.84943584,-4.05237485,0E-8,0E-8
